분류,제목,날짜_월,날짜_일,분기
건설ㆍ교통,불법 건축행위를 신고합니다.,6,25,2
건설ㆍ교통,사각지대 볼록거울 설치 요청 (2),6,23,2
건설ㆍ교통,불법 주차 단속 바랍니다.,6,23,2
건설ㆍ교통,조선대병원 후문쪽 불법 주정차 단속해주세요,6,23,2
건설ㆍ교통,상가앞문앞 주차,6,21,2
건설ㆍ교통,임택 동구청장님 귀하 (1),6,18,2
건설ㆍ교통,신호등주위불법주차,6,18,2
건설ㆍ교통,맨홀뚜껑소음,6,18,2
건설ㆍ교통,지산휴먼시아 오르막길 신호등 앞 (1),6,18,2
건설ㆍ교통,소음 교통 노숙자,6,17,2
건설ㆍ교통,제2순환도로 지산2동 단사공원 진입에 따른 우려사항 검토요망 (1),6,17,2
건설ㆍ교통,안전조치 미실시 (2),6,17,2
건설ㆍ교통,불법주정차 지속적으로 단속 좀 해주세요!,6,17,2
건설ㆍ교통,동명동 푸른길 공영주차장 (일방통행로),6,16,2
건설ㆍ교통,개념없는블법주정차 (3),6,15,2
건설ㆍ교통,녹동마을옆개울다리는언제,6,14,2
건설ㆍ교통,계림아이파크 건설현장 앞 사거리 교통신호요청드립니다.,6,13,2
건설ㆍ교통,동구 참판로 주정차관련,6,12,2
건설ㆍ교통,학동 붕괴사고. 현장 가림막 설치요청!!! (4),6,12,2
건설ㆍ교통,대한민국에서 가장 위험한 어린이보호구역 (5),6,12,2
건설ㆍ교통,지원1구역 주택재개발 정비사업 현장 (소음관련) 작업개시 시간 규제바람니다,6,12,2
건설ㆍ교통,주차민원,6,11,2
건설ㆍ교통,교통 개선 요청,6,11,2
건설ㆍ교통,도로 정비,6,11,2
건설ㆍ교통,에어컨 실외기 문제,6,11,2
건설ㆍ교통,월남동 과속방지턱 설치요망 (1),6,10,2
건설ㆍ교통,지원동 광주남초등학교공사피해 (1),6,10,2
건설ㆍ교통,지산ic 진출로 입구 공사 현장에서 사고가 났습니다,6,10,2
건설ㆍ교통,신호등이 가로수의 나뭇잎에 가려서 잘 보이지 않습니다,6,9,2
건설ㆍ교통,끼어들기차량 단속요청,6,9,2
건설ㆍ교통,학운 IC 방면 주택가 사이렌소리,6,8,2
건설ㆍ교통,일방도로 주정차위반 단속개선 요청,6,8,2
건설ㆍ교통,"두산 2차 , 3차 아파트 사이 신설도로 횡단금지용 중앙분리봉 설치 필요합니다.",6,8,2
건설ㆍ교통,황금동 노점단속,6,8,2
건설ㆍ교통,소음 (1),6,7,2
건설ㆍ교통,가로등 고장,6,7,2
건설ㆍ교통,버스승강장 싱크홀 (1),6,7,2
건설ㆍ교통,광주 동구 지호로 137-1 도로에 불법 방지턱설치,6,6,2
건설ㆍ교통,동구 임택청장님은 주차정책 시행을 이렇게 밖에 못하십니까?,6,6,2
건설ㆍ교통,주정차 관련,6,5,2
건설ㆍ교통,"노후도로, 파손집수정 교체요청의 건.",6,4,2
건설ㆍ교통,장기 주차 관련 문의,6,4,2
건설ㆍ교통,지원1동 영락교회~남초등학교 골목 포트홀,6,4,2
건설ㆍ교통,오토바이 불법주차 (1),6,3,2
건설ㆍ교통,인도 한가운데 주차하는 전동킥보드 단속요청합니다,6,3,2
건설ㆍ교통,공용주차공간 사유지화 민원요청 (1),6,2,2
건설ㆍ교통,두산3차 신호등과 야간가로등켜주세요,6,2,2
건설ㆍ교통,동명동 주차,6,2,2
건설ㆍ교통,푸른길 전동 퀵보드 통행 통제,6,2,2
건설ㆍ교통,불법주정차와 불법 입간판,6,1,2
건설ㆍ교통,불법주청차신고합니다,6,1,2
건설ㆍ교통,충장로 노점상,6,1,2
건설ㆍ교통,한시적 주차시간 조정 (1),6,1,2
건설ㆍ교통,교통사고다발지역.반사경설치,6,1,2
건설ㆍ교통,도로위 적재물 치워주세요,6,1,2
건설ㆍ교통,도로 방치된 블럭자제,5,31,2
건설ㆍ교통,인도가 푹 꺼져 있습니다.,5,31,2
