분류,제목,날짜_월,날짜_일
도시건축,계림동 행정복지센터동사무소 준공 문의,8,22
도시건축,골목길이 무서워요,8,22
기타,밑에 버스승강장 워터파크 민원에 덧붙여서 민원 드립니다,8,22
환경청소,ㅡ,8,21
건설교통,버스승강장 워터파크 ,8,21
도시건축,장마라는 데걱정됩니다 개발일 까 파괴일 까,8,21
기타,법무감사관은 똑바로 감사 하시길 바랍니다,8,21
환경청소,소음,8,21
기타,역시나 답변 못하시네요,8,21
건설교통,동구청주차장이용,8,20
환경청소,소음,8,19
환경청소,홈플러스 계림점 근처 비둘기너무 힘들어요 ,8,19
보건복지,모기 포충기 수리요청,8,19
도시건축,보안등 수리 요청,8,19
건설교통,조대 일방로 오토바이 주정차 ,8,19
건설교통,우회도로만든후상황,8,19
도시건축,선관위 회의 및 절차,8,19
보건복지,계림동 상가 화재 위험성 있어 지도 점검 요청합니다 ,8,19
환경청소,가로등 불이 안들어와요,8,19
도시건축,계단높이 법적 규정이 맞는건지 궁금합니다,8,18
문화경제,종합소득신고나 부가가치세 신고할수있도록 프로그램개설 ,8,18
환경청소,소음비산먼지,8,18
건설교통,불법적치물 신고합니다,8,18
환경청소,잡상인단속,8,18
건설교통,불법 주차 단속 바랍니다,8,18
환경청소,푸른길 산수마당 부근 넘 지저분해요,8,18
보건복지,경로당,8,18
도시건축,지적재조사 관련 문의입니다,8,18
기타,심폐소생술등 긴급대처교육,8,18
환경청소,소음,8,17
환경청소,소음,8,17
건설교통,개념없는 불법주정차,8,17
건설교통,대인시장내 주정차에 관한건과도한 신고,8,17
보건복지,전화가 안되서 그러는데 전화좀 주세요,8,17
도시건축,인도가 없어요,8,17
보건복지,복지,8,17
공원체육,두암제근린공원가로등이모두꺼짐,8,16
기타,계림동 주민 주차장,8,16
공원체육,계림동 그랜드센트럴 수영장 ,8,16
미담사례,광주동구보건소에 감사드립니다 ,8,16
문화경제,하공의 랜드마크 남광주시장,8,16
환경청소,불편해요,8,15
건설교통,어린이 보호구역 불법주정차 신고합니다,8,15
미담사례,칭찬합니다 ,8,15
도시건축,공고이행 의무,8,14
건설교통,롯데백화점 불법 주정차로 중앙선 넘어서 가는 상황 아시나요,8,14
건설교통,불법주정차를 신고합니다,8,14
